a	b	c
21	8549.7	0.708228665
21	12824.55	0.463243959
21	15389.46	0.29886
21	17099.4	0.24251
21	18809.34	0.23143
21	21374.25	0.269946441
21	25649.1	0.34327678
42	8549.7	0.555583433
42	12824.55	0.387596311
42	15389.46	0.28236
42	17099.4	0.24609
42	18809.34	0.23541
42	21374.25	0.252450079
42	25649.1	0.296837421
63	8549.7	0.478892684
63	12824.55	0.345249908
63	15389.46	0.26579
63	17099.4	0.24014
63	18809.34	0.23303
63	21374.25	0.243824749
63	25649.1	0.274906491
126	8549.7	0.38776941
126	12824.55	0.295358462
126	15389.46	0.24435
126	17099.4	0.2295
126	18809.34	0.22694
126	21374.25	0.233990212
126	25649.1	0.252087912
189	8549.7	0.344837331
189	12824.55	0.272853805
189	15389.46	0.23475
189	17099.4	0.22458
189	18809.34	0.22414
189	21374.25	0.230406412
189	25649.1	0.243768004
252	8549.7	0.316804506
252	12824.55	0.258151581
252	15389.46	0.22811
252	17099.4	0.22092
252	18809.34	0.22195
252	21374.25	0.228623779
252	25649.1	0.240846306
378	8549.7	0.289349957
378	12824.55	0.243267387
378	15389.46	0.22041831
378	17099.4	0.215455103
378	18809.34	0.217150156
378	21374.25	0.224007289
378	25649.1	0.23587787
504	8549.7	0.274595245
504	12824.55	0.235472743
504	15389.46	0.21647
504	17099.4	0.21267
504	18809.34	0.21471
504	21374.25	0.221662993
504	25649.1	0.233353985
