a	b	c
0.083333333	8592.55555	 0.70822866498
0.083333333	12888.83332	 0.463243959108
0.083333333	15466.59999	0.29886
0.083333333	17185.1111	 0.24251
0.083333333	18903.62221	 0.23143
0.083333333	21481.38887	 0.269946440984
0.083333333	25777.66665	 0.343276780456
0.166666667	8635.625914	 0.555583433158
0.166666667	12953.43887	 0.38759631087
0.166666667	15544.12664	 0.28236
0.166666667	17271.25183	 0.24609
0.166666667	18998.37701	 0.23541
0.166666667	21589.06478	 0.252450079125
0.166666667	25906.87774	 0.296837421327
0.25	8678.912169	 0.478892684429
0.25	13018.36825	 0.345249908327
0.25	15622.0419	 0.26579
0.25	17357.82434	 0.24014
0.25	19093.60677	 0.23303
0.25	21697.28042	 0.243824749462
0.25	26036.73651	 0.274906490829
0.5	8810.077129	 0.387769409959
0.5	13215.11569	 0.295358462381
0.5	15858.13883	 0.24435
0.5	17620.15426	 0.2295
0.5	19382.16968	 0.22694
0.5	22025.19282	 0.233990211761
0.5	26430.23139	 0.25208791165
0.75	8943.224394	 0.344837331361
0.75	13414.83659	 0.272853804903
0.75	16097.80391	 0.23475
0.75	17886.44879	 0.22458
0.75	19675.09367	 0.22414
0.75	22358.06098	 0.230406411803
0.75	26829.67318	 0.243768003643
1	9078.383922	 0.31680450565
1	13617.57588	 0.258151581053
1	16341.09106	 0.22811
1	18156.76784	 0.22092
1	19972.44463	 0.22195
1	22695.9598	 0.228623778728
1	27235.15177	 0.240846306179
1.5	9354.861873	 0.289349956742
1.5	14032.29281	 0.243267386772
1.5	16838.75137	 0.220418309811
1.5	18709.72375	 0.21545510298
1.5	20580.69612	 0.21715015596
1.5	23387.15468	 0.224007289465
1.5	28064.58562	 0.23587786967
2	9639.759832	 0.274595245407
2	14459.63975	 0.235472743221
2	17351.5677	 0.21647
2	19279.51966	 0.21267
2	21207.47163	 0.21471
2	24099.39958	 0.221662993077
2	28919.2795	 0.233353985396
