a	b	c
21	8592.55555	 0.70822866498
21	12888.83332	 0.463243959108
21	15466.59999	0.29886
21	17185.1111	 0.24251
21	18903.62221	 0.23143
21	21481.38887	 0.269946440984
21	25777.66665	 0.343276780456
42	8635.625914	 0.555583433158
42	12953.43887	 0.38759631087
42	15544.12664	 0.28236
42	17271.25183	 0.24609
42	18998.37701	 0.23541
42	21589.06478	 0.252450079125
42	25906.87774	 0.296837421327
63	8678.912169	 0.478892684429
63	13018.36825	 0.345249908327
63	15622.0419	 0.26579
63	17357.82434	 0.24014
63	19093.60677	 0.23303
63	21697.28042	 0.243824749462
63	26036.73651	 0.274906490829
126	8810.077129	 0.387769409959
126	13215.11569	 0.295358462381
126	15858.13883	 0.24435
126	17620.15426	 0.2295
126	19382.16968	 0.22694
126	22025.19282	 0.233990211761
126	26430.23139	 0.25208791165
189	8943.224394	 0.344837331361
189	13414.83659	 0.272853804903
189	16097.80391	 0.23475
189	17886.44879	 0.22458
189	19675.09367	 0.22414
189	22358.06098	 0.230406411803
189	26829.67318	 0.243768003643
252	9078.383922	 0.31680450565
252	13617.57588	 0.258151581053
252	16341.09106	 0.22811
252	18156.76784	 0.22092
252	19972.44463	 0.22195
252	22695.9598	 0.228623778728
252	27235.15177	 0.240846306179
378	9354.861873	 0.289349956742
378	14032.29281	 0.243267386772
378	16838.75137	 0.220418309811
378	18709.72375	 0.21545510298
378	20580.69612	 0.21715015596
378	23387.15468	 0.224007289465
378	28064.58562	 0.23587786967
504	9639.759832	 0.274595245407
504	14459.63975	 0.235472743221
504	17351.5677	 0.21647
504	19279.51966	 0.21267
504	21207.47163	 0.21471
504	24099.39958	 0.221662993077
504	28919.2795	 0.233353985396
