a	b	c
6	157.5	11.94
6	162.5	7.31
6	167.5	3.4
6	170	1.91
6	172.5	0.97
6	175	0.43
6	177.5	0.19
14	157.5	12.5
14	160	9.25
14	162.5	10.02
14	165	5.2
14	167.5	3.81
14	170	2.48
14	172.5	1.5
14	175	0.88
14	177.5	0.55
21	157.5	18.3
21	160	10.6
21	162.5	13.19
21	165	6.35
21	167.5	4.52
21	170	3.6
21	172.5	2.25
21	175	1.4
21	177.5	0.9
28	157.5	12.35
28	160	11.15
28	162.5	8.3
28	165	6.5
28	167.5	5.15
28	170	3.85
28	172.5	2.79
28	175	1.92
28	177.5	1.29
35	160	12.9
35	162.5	8.8
35	165	7.13
35	167.5	5.59
35	170	4.45
35	172.5	3.48
35	175	2.45
35	177.5	1.67
42	150	20.95
42	155	16.92
42	160	14.57
42	165	9.2
42	170	6.19
42	175	3.64
42	180	2.19
42	185	1.24
56	150	19.94
56	155	16.85
56	160	12.2
56	165	9
56	170	6.35
56	175	4.2
56	180	2.66
56	185	1.62
84	150	20.76
84	155	17.75
84	160	13.40
84	165	10.35
84	170	7.63
84	175	5.45
84	180	3.65
84	185	2.45
119	150	21.9
119	155	20.75
119	160	14.85
119	165	11.69
119	170	8.95
119	175	6.75
119	180	4.91
119	185	3.5
147	150	25.35
147	155	21.62
147	160	16.64
147	165	13.00
147	170	10.25
147	175	8.09
147	180	6.28
147	185	4.75
182	150	23.65
182	155	20.05
182	160	16.76
182	165	13.9
182	170	11.3
182	175	9
182	180	7.2
182	185	5.55
210	150	25
210	155	23.55
210	160	18
210	165	14.7
210	170	12.55
210	175	9.9
210	180	8
210	185	6.33
238	150	28.2
238	155	22
238	160	18.85
238	165	16.7
238	170	13.41
238	175	11.3
238	180	9.45
238	185	7.95
310	150	27.40
310	155	24.17
310	160	20.32
310	165	17.65
310	170	15.50
310	175	13.00
310	180	11.08
310	185	8.91
455	150	30
455	155	29.5
455	160	24.9
455	165	21.39
455	170	19
455	175	16.86
455	180	14.1
455	185	13.5
665	150	33.6
665	155	32
665	160	28.35
665	165	25.96
665	170	23.4
665	175	21.95
665	180	20
665	185	19.65
819	150	38.55
819	155	35.01
819	160	32.5
819	165	28.5
819	170	26.97
819	175	25.66
819	180	22.62
819	185	20.8
