a	b	91.27
5	87.5	4.200
5	88	3.775
5	88.5	3.375
5	89	2.975
5	89.5	2.615
5	90	2.250
5	90.5	1.970
5	91	1.665
5	91.5	1.400
5	92	1.160
5	92.5	0.935
5	93	0.765
5	93.5	0.000
5	94	0.470
5	94.5	0.375
5	95	0.290
10	87.5	4.65
10	88.5	3.9
10	89	3.525
10	89.5	3.2
10	90	2.855
10	90.5	2.535
10	91	2.255
10	91.5	1.985
10	92	1.735
10	92.5	1.51
10	93	1.31
10	93.5	1.125
10	94	0.965
10	94.5	0.825
10	95	0.68
15	87.5	5.025
15	88	4.65
15	88.5	4.275
15	89	3.925
15	89.5	3.6
15	90	3.275
15	90.5	2.955
15	91	2.68
15	91.5	2.415
15	92	2.160
15	92.5	1.930
15	93	1.715
15	93.5	1.515
15	94	1.335
15	94.5	1.170
15	95	1.015
20	87.5	5.925
20	88	5.400
20	88.5	5.075
20	89	4.750
20	89.5	4.475
20	90	4.175
20	90.5	3.875
20	91	3.600
20	91.5	3.350
20	92	3.075
20	92.5	2.905
20	93	2.700
20	93.5	2.395
20	94	2.190
20	94.5	2.000
20	95	1.830
25	87.5	6.025
25	88	5.700
25	88.5	5.375
25	89	5.075
25	89.5	4.750
25	90	4.475
25	90.5	4.175
25	91	3.900
25	91.5	3.625
25	92	3.375
25	92.5	3.15
25	93	2.915
25	93.5	2.685
25	94	2.475
25	94.5	2.275
25	95	2.09
30	87.5	6.275
30	90	4.725
30	92.5	3.375
30	95	2.31
30	97.5	1.52
35	82.5	10.175
35	85	8.2
35	87.5	6.4
35	90	4.85
35	92.5	3.525
35	95	2.465
35	97.5	1.66
35	100	1.08
55	82.5	10.625
55	85	8.7
55	87.5	6.975
55	90	5.425
55	92.5	4.175
55	95	3.1
55	97.5	2.175
55	100	1.555
80	82.5	11.4
80	85	9.625
80	87.5	7.975
80	90	6.5
80	92.5	5.175
80	95	4.1
80	97.5	3.125
80	100	2.435
125	82.5	12.275
125	85	10.525
125	87.5	8.95
125	90	7.5
125	92.5	6.25
125	95	5.075
125	97.5	4.125
125	100	3.325
145	82.5	8.75
145	85	10.95
145	87.5	9.4
145	90	8
145	92.5	6.75
145	95	5.6
145	97.5	4.625
145	100	3.75
210	82.5	13.9
210	85	12.475
210	87.5	10.575
210	90	9.575
210	92.5	7.975
210	95	7.25
210	97.5	6.125
210	100	5.2
