Days;Dif;Ask
4;-33.12;0.03
4;-32.12;0.05
4;-31.12;0.03
4;-30.12;0.11
4;-29.12;0.03
4;-28.12;0.02
4;-27.12;0.01
4;-24.62;0.01
4;-22.12;0.03
4;-19.62;0.03
4;-17.12;0.03
4;-14.62;0.03
4;-12.12;0.04
4;-9.62;0.06
4;-7.12;0.11
4;-4.62;0.28
4;-2.12;0.75
4;0.38;1.7
4;2.88;3.25
4;10.38;9.35
4;12.88;11.7
4;15.38;14.2
4;17.88;17.65
4;22.88;23.1
4;32.88;32.2
9;-33.12;0.15
9;-32.12;0.16
9;-31.12;0.06
9;-30.12;0.17
9;-29.12;0.17
9;-28.12;0.2
9;-27.12;0.09
9;-24.62;0.12
9;-22.12;0.17
9;-19.62;0.23
9;-17.12;0.33
9;-14.62;0.47
9;-12.12;0.71
9;-9.62;1.04
9;-7.12;1.52
9;-4.62;2.2
9;-2.12;3.05
9;0.38;4.25
9;2.88;5.65
9;5.38;7.3
9;7.88;9.1
9;10.38;10.7
9;12.88;12.75
9;15.38;18.1
14;-33.12;0.18
14;-32.12;0.11
14;-31.12;0.1
14;-30.12;0.21
14;-29.12;0.24
14;-28.12;0.23
14;-27.12;0.25
14;-24.62;0.26
14;-22.12;0.29
14;-19.62;0.38
14;-17.12;0.52
14;-14.62;0.71
14;-12.12;1.02
14;-9.62;1.42
14;-7.12;1.97
14;-4.62;2.75
14;-2.12;3.65
14;0.38;4.85
14;2.88;6.35
14;5.38;8
14;7.88;9.1
14;10.38;11.25
14;12.88;13.75
14;17.88;18.4
14;22.88;23.3
19;-174.62;0.02
19;-97.12;0.05
19;-92.12;0.02
19;-87.12;0.01
19;-82.12;0.02
19;-77.12;0.01
19;-72.12;0.02
19;-67.12;0.03
19;-62.12;0.05
19;-57.12;0.03
19;-52.12;0.03
19;-47.12;0.06
19;-42.12;0.13
19;-37.12;0.1
19;-32.12;0.15
19;-27.12;0.22
19;-22.12;0.36
19;-17.12;0.64
19;-12.12;1.17
19;-7.12;2.22
19;-2.12;4.05
19;2.88;6.6
19;7.88;10.1
19;12.88;14.2
19;17.88;17.9
19;22.88;23.7
19;27.88;27.25
19;32.88;33.15
19;37.88;38.8
19;42.88;43.65
