"result__underlyingSymbol","result__expirationDates","result__strikes","result__hasMiniOptions","result__quote__language","result__quote__quoteType","result__quote__quoteSourceName","result__quote__currency","result__quote__priceHint","result__quote__sharesOutstanding","result__quote__bookValue","result__quote__fiftyDayAverage","result__quote__fiftyDayAverageChange","result__quote__fiftyDayAverageChangePercent","result__quote__esgPopulated","result__quote__tradeable","result__quote__epsTrailingTwelveMonths","result__quote__epsForward","result__quote__fiftyTwoWeekLowChange","result__quote__fiftyTwoWeekLowChangePercent","result__quote__fiftyTwoWeekHighChange","result__quote__dividendDate","result__quote__forwardPE","result__quote__priceToBook","result__quote__sourceInterval","result__quote__regularMarketChangePercent","result__quote__regularMarketPreviousClose","result__quote__twoHundredDayAverageChange","result__quote__twoHundredDayAverageChangePercent","result__quote__marketCap","result__quote__fiftyTwoWeekHighChangePercent","result__quote__fiftyTwoWeekLow","result__quote__fiftyTwoWeekHigh","result__quote__regularMarketPrice","result__quote__regularMarketTime","result__quote__regularMarketChange","result__quote__regularMarketOpen","result__quote__regularMarketDayHigh","result__quote__regularMarketDayLow","result__quote__regularMarketVolume","result__quote__market","result__quote__marketState","result__quote__financialCurrency","result__quote__averageDailyVolume3Month","result__quote__averageDailyVolume10Day","result__quote__exchangeTimezoneName","result__quote__exchangeTimezoneShortName","result__quote__gmtOffSetMilliseconds","result__quote__exchangeDataDelayedBy","result__quote__earningsTimestamp","result__quote__earningsTimestampStart","result__quote__earningsTimestampEnd","result__quote__trailingAnnualDividendRate","result__quote__trailingPE","result__quote__twoHundredDayAverage","result__quote__trailingAnnualDividendYield","result__quote__bid","result__quote__ask","result__quote__bidSize","result__quote__askSize","result__quote__messageBoardId","result__quote__fullExchangeName","result__quote__longName","result__quote__shortName","result__quote__exchange","result__quote__symbol","result__options__expirationDate","result__options__hasMiniOptions","result__options__calls__contractSymbol","result__options__calls__strike","result__options__calls__currency","result__options__calls__lastPrice","result__options__calls__change","result__options__calls__percentChange","result__options__calls__volume","result__options__calls__openInterest","result__options__calls__bid","result__options__calls__ask","result__options__calls__contractSize","result__options__calls__expiration","result__options__calls__lastTradeDate","result__options__calls__impliedVolatility","result__options__calls__inTheMoney","result__options__puts__contractSymbol","result__options__puts__strike","result__options__puts__currency","result__options__puts__lastPrice","result__options__puts__change","result__options__puts__percentChange","result__options__puts__volume","result__options__puts__openInterest","result__options__puts__bid","result__options__puts__ask","result__options__puts__contractSize","result__options__puts__expiration","result__options__puts__lastTradeDate","result__options__puts__impliedVolatility","result__options__puts__inTheMoney","error"
"AAPL","1516924800","42.5","False","en-US","EQUITY","Nasdaq Real Time Price","USD","2","5087059968","26.149","173.36406","3.895935","0.022472564","False","True","9.21","12.24","57.759995","0.48334724","-2.8400116","1510790400","14.482026","6.778844","15","-0.6724264","178.46","14.491608","0.08903208","901732237312","-0.015769081","119.5","180.1","177.26","1516636241","-1.2000122","177.3","177.78","176.6016","7421409","us_market","REGULAR","USD","27422618","30366760","America/New_York","EST","-18000000","0","1517518800","1517259600","1517605200","2.4","19.246471","162.76839","0.013448392","177.13","177.15","5","2","finmb_24937","NasdaqGS","Apple Inc.","Apple Inc.","NMS","AAPL","1547769600","False","AAPL190118C00042500","42.5","USD","135.83","-0.41999817","-0.30825552","38","470","135.75","136.3","REGULAR","1547769600","1516395133","0.8452163916015624","True","AAPL190118P00042500","42.5","USD","0.01","0.0","0.0","15","3043","0.0","0.05","REGULAR","1547769600","1515611182","0.500005","False","null"
"","1517529600","47.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00047500","47.5","USD","130.35","-1.0999908","-0.83681315","6","127","130.75","131.3","REGULAR","1547769600","1516378238","0.7817404638671875","True","AAPL190118P00047500","47.5","USD","0.02","-0.02","-50.0","165","1094","0.0","0.05","REGULAR","1547769600","1515788847","0.49414568359375005","False",""
"","1518134400","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00055000","55.0","USD","122.85","-1.8199997","-1.4598538","6","446","123.25","123.8","REGULAR","1547769600","1516378238","0.6992217578125001","True","AAPL190118P00055000","55.0","USD","0.04","0.0","0.0","30","1251","0.0","0.12","REGULAR","1547769600","1514994068","0.48633326171875","False",""
"","1518739200","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00060000","60.0","USD","118.4","2.959999","2.5641017","12","1616","118.25","118.8","REGULAR","1547769600","1516395000","0.6507603283691408","True","AAPL190118P00060000","60.0","USD","0.06","0.0","0.0","200","1644","0.03","0.09","REGULAR","1547769600","1516288516","0.436529072265625","False",""
"","1519344000","65.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00065000","65.0","USD","107.0","0.0","0.0","5","51","104.0","107.0","REGULAR","1547769600","1510859676","1E-05","True","AAPL190118P00065000","65.0","USD","0.01","0.0","0.0","1","1444","0.01","0.25","REGULAR","1547769600","1514490788","0.46191944335937507","False",""
"","1519948800","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00070000","70.0","USD","108.0","0.0","0.0","10","239","106.0","110.8","REGULAR","1547769600","1516113001","0.5537154003906251","True","AAPL190118P00070000","70.0","USD","0.08","-0.020000003","-20.000004","12","1803","0.0","0.12","REGULAR","1547769600","1515768912","0.39063109375","False",""
"","1524182400","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00075000","75.0","USD","103.14","-0.8600006","-0.82692367","1","259","101.0","105.8","REGULAR","1547769600","1516375572","0.516606396484375","True","AAPL190118P00075000","75.0","USD","0.14","0.049999997","55.555553","14","2219","0.07","0.13","REGULAR","1547769600","1515785063","0.367193828125","False",""
"","1529020800","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00080000","80.0","USD","99.5","0.0","0.0","20","1621","98.0","100.85","REGULAR","1547769600","1516287746","0.5554243676757813","True","AAPL190118P00080000","80.0","USD","0.14","-0.019999996","-12.499998","3","2948","0.11","0.16","REGULAR","1547769600","1516395142","0.3505924316406249","False",""
"","1532044800","85.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00085000","85.0","USD","93.06","-1.7300034","-1.8250905","7","214","91.75","95.6","REGULAR","1547769600","1516377319","0.5803264624023439","True","AAPL190118P00085000","85.0","USD","0.19","-0.049999997","-20.833332","123","2721","0.14","0.24","REGULAR","1547769600","1516387817","0.344733115234375","False",""
"","1537488000","90.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00090000","90.0","USD","87.6","-2.4000015","-2.6666684","293","1889","86.35","88.75","REGULAR","1547769600","1516635018","0.44336494140625","True","AAPL190118P00090000","90.0","USD","0.27","0.030000016","12.500008","46","4437","0.23","0.33","REGULAR","1547769600","1516388718","0.335944140625","False",""
"","1547769600","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00095000","95.0","USD","85.0","0.0","0.0","157","2650","82.1","86.0","REGULAR","1547769600","1516292179","0.523320196533203","True","AAPL190118P00095000","95.0","USD","0.34","0.02000001","6.250004","22","8816","0.31","0.43","REGULAR","1547769600","1516395292","0.32520206054687495","False",""
"","1579219200","97.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00097500","97.5","USD","78.9","0.0","0.0","87","236","79.7","82.95","REGULAR","1547769600","1516201011","0.48291532714843755","True","AAPL190118P00097500","97.5","USD","0.4","-0.06999999","-14.893616","10","1952","0.37","0.49","REGULAR","1547769600","1516378120","0.32031929687499994","False",""
"","","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL190118C00100000","100.0","USD","77.7","-1.0","-1.2706481","41","16464","77.1","77.95","REGULAR","1547769600","1516635058","0.32691102783203124","True","AAPL190118P00100000","100.0","USD","0.46","0.02000001","4.545457","10","14290","0.44","0.49","REGULAR","1547769600","1516634064","0.3083565258789062","False",""
