"result__underlyingSymbol","result__expirationDates","result__strikes","result__hasMiniOptions","result__quote__language","result__quote__quoteType","result__quote__quoteSourceName","result__quote__currency","result__quote__market","result__quote__priceHint","result__quote__esgPopulated","result__quote__tradeable","result__quote__bidSize","result__quote__askSize","result__quote__messageBoardId","result__quote__regularMarketChangePercent","result__quote__regularMarketPreviousClose","result__quote__bid","result__quote__ask","result__quote__fullExchangeName","result__quote__longName","result__quote__financialCurrency","result__quote__averageDailyVolume3Month","result__quote__averageDailyVolume10Day","result__quote__fiftyTwoWeekLowChange","result__quote__fiftyTwoWeekLowChangePercent","result__quote__fiftyTwoWeekHighChange","result__quote__fiftyTwoWeekHighChangePercent","result__quote__fiftyTwoWeekLow","result__quote__fiftyTwoWeekHigh","result__quote__dividendDate","result__quote__earningsTimestamp","result__quote__earningsTimestampStart","result__quote__earningsTimestampEnd","result__quote__trailingAnnualDividendRate","result__quote__trailingPE","result__quote__trailingAnnualDividendYield","result__quote__regularMarketPrice","result__quote__regularMarketTime","result__quote__regularMarketChange","result__quote__regularMarketOpen","result__quote__regularMarketDayHigh","result__quote__regularMarketDayLow","result__quote__regularMarketVolume","result__quote__exchangeDataDelayedBy","result__quote__marketState","result__quote__shortName","result__quote__sharesOutstanding","result__quote__bookValue","result__quote__fiftyDayAverage","result__quote__fiftyDayAverageChange","result__quote__fiftyDayAverageChangePercent","result__quote__twoHundredDayAverage","result__quote__twoHundredDayAverageChange","result__quote__epsTrailingTwelveMonths","result__quote__epsForward","result__quote__twoHundredDayAverageChangePercent","result__quote__marketCap","result__quote__forwardPE","result__quote__priceToBook","result__quote__sourceInterval","result__quote__exchangeTimezoneName","result__quote__exchangeTimezoneShortName","result__quote__gmtOffSetMilliseconds","result__quote__exchange","result__quote__symbol","result__options__expirationDate","result__options__hasMiniOptions","result__options__calls__contractSymbol","result__options__calls__strike","result__options__calls__currency","result__options__calls__lastPrice","result__options__calls__change","result__options__calls__percentChange","result__options__calls__volume","result__options__calls__openInterest","result__options__calls__bid","result__options__calls__ask","result__options__calls__contractSize","result__options__calls__expiration","result__options__calls__lastTradeDate","result__options__calls__impliedVolatility","result__options__calls__inTheMoney","result__options__puts__contractSymbol","result__options__puts__strike","result__options__puts__currency","result__options__puts__lastPrice","result__options__puts__change","result__options__puts__percentChange","result__options__puts__volume","result__options__puts__openInterest","result__options__puts__bid","result__options__puts__ask","result__options__puts__contractSize","result__options__puts__expiration","result__options__puts__lastTradeDate","result__options__puts__impliedVolatility","result__options__puts__inTheMoney","error"
"AAPL","1516924800","2.5","False","en-US","EQUITY","Nasdaq Real Time Price","USD","us_market","2","False","True","3","3","finmb_24937","-0.6219884","178.46","177.16","177.17","NasdaqGS","Apple Inc.","USD","27422618","30366760","57.850006","0.48410046","-2.75","-0.015269294","119.5","180.1","1510790400","1517518800","1517259600","1517605200","2.4","19.256245","0.013448392","177.35","1516636119","-1.1100006","177.3","177.78","176.6016","7344055","0","REGULAR","Apple Inc.","5087059968","26.149","173.36406","3.9859467","0.02299177","162.76839","14.581619","9.21","12.24","0.08958508","902190137344","14.48938","6.782286","15","America/New_York","EST","-18000000","NMS","AAPL","1518739200","False","AAPL180216C00002500","2.5","USD","170.91","0.0","0.0","1","1","172.2","172.85","REGULAR","1518739200","1515214187","1E-05","True","AAPL180216P00002500","2.5","USD","0.02","0.0","0.0","3","0","0.0","0.02","REGULAR","1518739200","1516423479","5.375003281249999","False","null"
"","1517529600","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00007500","7.5","USD","165.92","0.0","0.0","1","1","167.2","167.85","REGULAR","1518739200","1515214192","1E-05","True","AAPL180216P00080000","80.0","USD","0.01","0.0","0.0","1","2425","0.0","0.05","REGULAR","1518739200","1514387727","1.0625046875000002","False",""
"","1518134400","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00070000","70.0","USD","109.7","0.0","0.0","1","6","108.25","108.8","REGULAR","1518739200","1516300739","2.0820360449218747","True","AAPL180216P00085000","85.0","USD","0.01","-0.02","-66.66667","1","1124","0.0","0.02","REGULAR","1518739200","1514579246","0.9062509375","False",""
"","1518739200","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00075000","75.0","USD","100.0","0.0","0.0","10","0","99.8","100.45","REGULAR","1518739200","1515214192","1E-05","True","AAPL180216P00090000","90.0","USD","0.01","0.0","0.0","30","2349","0.0","0.01","REGULAR","1518739200","1516301232","0.79687703125","False",""
"","1519344000","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00080000","80.0","USD","95.05","2.050003","2.2043045","5","8","94.8","95.45","REGULAR","1518739200","1515172543","1E-05","True","AAPL180216P00095000","95.0","USD","0.01","0.0","0.0","10","1064","0.0","0.02","REGULAR","1518739200","1516286310","0.7812521875","False",""
"","1519948800","85.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00085000","85.0","USD","90.73","0.0","0.0","22","1","89.65","90.5","REGULAR","1518739200","1510260577","1E-05","True","AAPL180216P00100000","100.0","USD","0.01","0.0","0.0","724","2099","0.0","0.01","REGULAR","1518739200","1516388344","0.6875031250000001","False",""
"","1524182400","90.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00090000","90.0","USD","80.67","-4.9400024","-5.7703567","5","0","79.3","80.05","REGULAR","1518739200","1512749044","1E-05","True","AAPL180216P00105000","105.0","USD","0.01","0.0","0.0","2","2467","0.0","0.02","REGULAR","1518739200","1516378520","0.6562534375000001","False",""
"","1529020800","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00095000","95.0","USD","80.65","0.0","0.0","87","0","79.75","80.5","REGULAR","1518739200","1510260623","1E-05","True","AAPL180216P00110000","110.0","USD","0.01","-0.01","-50.0","2","1354","0.0","0.03","REGULAR","1518739200","1516378980","0.6250037500000001","False",""
"","1532044800","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00100000","100.0","USD","77.8","1.9000015","2.503296","3","362","77.3","79.55","REGULAR","1518739200","1516377210","1.3364290991210934","True","AAPL180216P00115000","115.0","USD","0.02","0.0","0.0","75","2774","0.0","0.05","REGULAR","1518739200","1516307553","0.6015664843750002","False",""
"","1537488000","105.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00105000","105.0","USD","68.3","0.0","0.0","1","1","69.9","70.55","REGULAR","1518739200","1514990732","1E-05","True","AAPL180216P00120000","120.0","USD","0.02","-0.02","-50.0","1","4057","0.01","0.03","REGULAR","1518739200","1516380417","0.5351608984375","False",""
"","1547769600","110.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00110000","110.0","USD","67.15","0.0","0.0","66","199","67.5","69.55","REGULAR","1518739200","1516129316","1.1679729101562502","True","AAPL180216P00125000","125.0","USD","0.03","-0.01","-25.0","4","5890","0.01","0.03","REGULAR","1518739200","1516374638","0.5039112109375","False",""
"","1579219200","115.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00115000","115.0","USD","61.48","0.0","0.0","56","484","62.5","64.55","REGULAR","1518739200","1516213302","1.076664772949219","True","AAPL180216P00130000","130.0","USD","0.04","0.0","0.0","31","6061","0.04","0.06","REGULAR","1518739200","1516394487","0.49219257812500006","False",""
"","","120.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00120000","120.0","USD","58.65","-1.1199989","-1.8738481","113","1178","58.45","58.8","REGULAR","1518739200","1516383479","1.0080616003417968","True","AAPL180216P00135000","135.0","USD","0.13","0.009999998","8.333332","55","6309","0.12","0.13","REGULAR","1518739200","1515597596","0.48730981445312505","False",""
"","","125.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00125000","125.0","USD","52.81","2.0600014","4.0591164","39","469","52.05","52.85","REGULAR","1518739200","1516632660","0.5839885351562499","True","AAPL180216P00140000","140.0","USD","0.1","-0.009999998","-9.090907","822","9718","0.08","0.1","REGULAR","1518739200","1516634911","0.414068359375","False",""
"","","130.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00130000","130.0","USD","48.7","-0.88000107","-1.7749114","434","1817","48.5","48.8","REGULAR","1518739200","1516393912","0.8425308715820312","True","AAPL180216P00145000","145.0","USD","0.13","-0.040000007","-23.529415","264","12784","0.13","0.15","REGULAR","1518739200","1516632963","0.38281867187499996","False",""
"","","135.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00135000","135.0","USD","43.92","-1.1000023","-2.4433634","5","746","43.0","43.85","REGULAR","1518739200","1516385940","0.725588681640625","True","AAPL180216P00150000","150.0","USD","0.21","-0.049999997","-19.230768","64","12846","0.21","0.22","REGULAR","1518739200","1516634474","0.34961587890624996","False",""
"","","140.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00140000","140.0","USD","37.49","-1.329998","-3.4260638","8","3414","37.0","37.7","REGULAR","1518739200","1516634814","0.507817421875","True","AAPL180216P00155000","155.0","USD","0.35","-0.02000001","-5.405408","26","18262","0.34","0.36","REGULAR","1518739200","1516634156","0.3225165405273437","False",""
"","","145.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00145000","145.0","USD","32.9","-0.8499985","-2.518514","1","4564","32.25","33.0","REGULAR","1518739200","1516631404","0.5063525927734375","True","AAPL180216P00160000","160.0","USD","0.63","-0.030000031","-4.5454593","523","20762","0.62","0.64","REGULAR","1518739200","1516635101","0.30103238037109376","False",""
"","","150.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00150000","150.0","USD","23.93","-1.0699997","-4.279999","36","7893","23.65","24.0","REGULAR","1518739200","1515603133","1E-05","True","AAPL180216P00165000","165.0","USD","1.16","-0.00999999","-0.8547001","557","30088","1.15","1.17","REGULAR","1518739200","1516634862","0.2829661547851562","False",""
"","","155.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00155000","155.0","USD","18.95","-1.1999989","-5.9553294","45","11293","19.05","19.25","REGULAR","1518739200","1515604193","1E-05","True","AAPL180216P00170000","170.0","USD","2.16","0.0400002","1.886802","5732","41569","2.19","2.22","REGULAR","1518739200","1516634863","0.2742992492675781","False",""
"","","160.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180216C00160000","160.0","USD","18.05","-0.95000076","-5.0000043","396","14339","17.65","18.05","REGULAR","1518739200","1516634699","0.3083565258789062","True","AAPL180216P00175000","175.0","USD","4.0","0.25","6.666667","579","15139","3.95","4.05","REGULAR","1518739200","1516635063","0.2740551110839844","False",""
