"result__underlyingSymbol","result__expirationDates","result__strikes","result__hasMiniOptions","result__quote__language","result__quote__quoteType","result__quote__quoteSourceName","result__quote__currency","result__quote__market","result__quote__marketState","result__quote__exchangeDataDelayedBy","result__quote__fiftyTwoWeekLow","result__quote__fiftyTwoWeekHigh","result__quote__dividendDate","result__quote__earningsTimestamp","result__quote__earningsTimestampStart","result__quote__earningsTimestampEnd","result__quote__trailingAnnualDividendRate","result__quote__trailingPE","result__quote__trailingAnnualDividendYield","result__quote__epsTrailingTwelveMonths","result__quote__epsForward","result__quote__sharesOutstanding","result__quote__bookValue","result__quote__fiftyDayAverage","result__quote__fiftyDayAverageChange","result__quote__fiftyDayAverageChangePercent","result__quote__twoHundredDayAverage","result__quote__twoHundredDayAverageChange","result__quote__twoHundredDayAverageChangePercent","result__quote__marketCap","result__quote__forwardPE","result__quote__priceToBook","result__quote__sourceInterval","result__quote__exchangeTimezoneName","result__quote__exchangeTimezoneShortName","result__quote__gmtOffSetMilliseconds","result__quote__priceHint","result__quote__regularMarketChangePercent","result__quote__bid","result__quote__regularMarketPreviousClose","result__quote__ask","result__quote__bidSize","result__quote__askSize","result__quote__messageBoardId","result__quote__fullExchangeName","result__quote__longName","result__quote__financialCurrency","result__quote__averageDailyVolume3Month","result__quote__averageDailyVolume10Day","result__quote__fiftyTwoWeekLowChange","result__quote__fiftyTwoWeekLowChangePercent","result__quote__fiftyTwoWeekHighChange","result__quote__fiftyTwoWeekHighChangePercent","result__quote__shortName","result__quote__regularMarketPrice","result__quote__regularMarketTime","result__quote__regularMarketChange","result__quote__regularMarketOpen","result__quote__regularMarketDayHigh","result__quote__regularMarketDayLow","result__quote__regularMarketVolume","result__quote__exchange","result__quote__esgPopulated","result__quote__tradeable","result__quote__symbol","result__options__expirationDate","result__options__hasMiniOptions","result__options__calls__contractSymbol","result__options__calls__strike","result__options__calls__currency","result__options__calls__lastPrice","result__options__calls__change","result__options__calls__percentChange","result__options__calls__volume","result__options__calls__openInterest","result__options__calls__bid","result__options__calls__ask","result__options__calls__contractSize","result__options__calls__expiration","result__options__calls__lastTradeDate","result__options__calls__impliedVolatility","result__options__calls__inTheMoney","result__options__puts__contractSymbol","result__options__puts__strike","result__options__puts__currency","result__options__puts__lastPrice","result__options__puts__change","result__options__puts__percentChange","result__options__puts__volume","result__options__puts__openInterest","result__options__puts__bid","result__options__puts__ask","result__options__puts__contractSize","result__options__puts__expiration","result__options__puts__lastTradeDate","result__options__puts__impliedVolatility","result__options__puts__inTheMoney","error"
"AAPL","1516924800","135.0","False","en-US","EQUITY","Nasdaq Real Time Price","USD","us_market","REGULAR","0","119.5","180.1","1510790400","1517518800","1517259600","1517605200","2.4","19.252987","0.013448392","9.21","12.24","5087059968","26.149","173.36406","3.9559479","0.022818731","162.76839","14.5516205","0.089400776","902037504000","14.486929","6.781139","15","America/New_York","EST","-18000000","2","-0.63879824","177.09","178.46","177.11","1","2","finmb_24937","NasdaqGS","Apple Inc.","USD","27422618","30366760","57.820007","0.48384944","-2.7799988","-0.015435861","Apple Inc.","177.32","1516636079","-1.1399994","177.3","177.78","176.6016","7317812","NMS","False","True","AAPL","1516924800","False","AAPL180126C00135000","135.0","USD","44.19","0.0","0.0","1","1","42.25","44.45","REGULAR","1516924800","1516424302","1.6372088452148437","True","AAPL180126P00144000","144.0","USD","0.01","0.0","0.0","26","85","0.0","0.03","REGULAR","1516924800","1516212374","0.6718782812500002","False","null"
"","1517529600","140.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00140000","140.0","USD","38.67","0.0","0.0","2","0","37.25","39.45","REGULAR","1516924800","1516424302","1.4628933105468749","True","AAPL180126P00145000","145.0","USD","0.03","-0.01","-25.0","207","142","0.0","0.05","REGULAR","1516924800","1515790532","0.6875031250000001","False",""
"","1518134400","144.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00144000","144.0","USD","32.25","0.0","0.0","210","0","32.65","33.4","REGULAR","1516924800","1515819495","0.8164080859374999","True","AAPL180126P00146000","146.0","USD","0.02","0.0","0.0","1","475","0.0","0.03","REGULAR","1516924800","1516133101","0.6250037500000001","False",""
"","1518739200","145.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00145000","145.0","USD","33.52","-0.9399986","-2.7277966","2","81","32.25","34.45","REGULAR","1516924800","1516389342","1.2915074487304685","True","AAPL180126P00147000","147.0","USD","0.09","0.0","0.0","24","329","0.02","0.11","REGULAR","1516924800","1515005105","0.7246121289062499","False",""
"","1519344000","146.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00146000","146.0","USD","31.15","0.0","0.0","85","0","30.65","31.6","REGULAR","1516924800","1515819496","0.9433599414062499","True","AAPL180126P00148000","148.0","USD","0.03","0.0","0.0","21","89","0.0","0.03","REGULAR","1516924800","1516203617","0.585941640625","False",""
"","1519948800","147.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00147000","147.0","USD","30.1","0.0","0.0","90","4","29.6","30.55","REGULAR","1516924800","1515819496","0.8828136718749999","True","AAPL180126P00149000","149.0","USD","0.07","0.04","133.33334","6","27","0.0","0.02","REGULAR","1516924800","1516378513","0.5468795312500001","False",""
"","1524182400","148.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00148000","148.0","USD","29.7","0.0","0.0","95","0","28.65","29.55","REGULAR","1516924800","1515819496","0.8564467480468749","True","AAPL180126P00150000","150.0","USD","0.01","-0.01","-50.0","3","812","0.0","0.01","REGULAR","1516924800","1516632398","0.500005","False",""
"","1529020800","149.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00149000","149.0","USD","28.65","0.0","0.0","100","0","27.65","28.55","REGULAR","1516924800","1515819496","0.8300798242187499","True","AAPL180126P00152500","152.5","USD","0.01","-0.03","-75.0","202","720","0.0","0.01","REGULAR","1516924800","1516633160","0.476567734375","False",""
"","1532044800","150.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00150000","150.0","USD","28.55","0.099998474","0.35148847","32","136","28.45","28.7","REGULAR","1516924800","1516393882","1.1860392260742185","True","AAPL180126P00155000","155.0","USD","0.03","0.0","0.0","167","1574","0.01","0.03","REGULAR","1516924800","1516390366","0.48828636718750007","False",""
"","1537488000","152.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAPL180126C00152500","152.5","USD","23.1","0.0","0.0","3","118","24.9","26.95","REGULAR","1516924800","1516208305","1.0595750146484377","True","AAPL180126P00157500","157.5","USD","0.02","-0.01","-33.333336","10","1410","0.01","0.03","REGULAR","1516924800","1516632064","0.437505625","False",""
